mano,dedo_id,timestamp,ax,ay,az,gx,gy,gz,label
R,1,1255830,2.099,1.63,9.294,-0.166,-0.052,-0.397,D
R,2,1255833,-7.671,4.574,4.093,0.351,-0.399,-0.236,D
R,3,1255836,-6.681,6.155,3.431,0.26,-0.457,-0.206,D
R,4,1255839,-4.373,7.435,4.63,0.121,-0.529,-0.21,D
L,0,1243605,-5.152,5.866,7.49,0.465,0.847,1.115,D
L,1,1243609,-5.456,5.17,8.226,0.664,0.609,1.241,D
L,2,1243613,-5.944,5.316,6.823,0.599,0.588,1.313,D
L,3,1243617,-6.788,0.643,7.183,0.259,-0.267,1.599,D
L,4,1243621,-7.754,-0.272,4.003,-0.288,-0.034,2.077,D
R,0,1261885,-0.547,-6.91,7.866,-0.599,-0.073,0.026,D
R,1,1261888,-3.138,0.51,9.868,-0.068,-0.316,-0.157,D
R,2,1261891,-8.238,5.879,1.36,-0.087,-0.064,-0.398,D
R,3,1261894,-6.231,8.126,1.638,-0.013,0.165,-0.248,D
R,4,1261897,-5.294,7.983,3.807,-0.358,0.34,-0.402,D
L,0,1249625,-6.603,1.489,7.834,-0.044,-0.007,0.004,E
L,1,1249629,-6.309,-0.074,7.57,-0.015,0.0,-0.017,E
L,2,1249633,-6.858,0.09,6.926,0.007,-0.018,0.003,E
L,3,1249637,-7.825,-3.772,4.881,-0.0,-0.01,-0.018,E
L,4,1249641,-8.274,-4.787,2.531,-0.048,-0.009,0.005,E
R,0,1267944,-6.172,-5.412,5.215,-0.007,0.693,0.274,E
R,1,1267947,-7.474,-1.731,6.324,0.258,0.554,-0.174,E
R,2,1267950,-9.669,3.114,-1.663,0.6,0.317,0.022,E
R,3,1267953,-8.288,6.011,-1.547,0.694,0.234,0.14,E
R,4,1267956,-7.403,6.203,-1.919,0.665,0.101,0.098,E
L,0,1255645,-7.576,2.321,7.649,-0.273,-0.072,-0.362,E
L,1,1255649,-6.565,0.781,7.551,-0.336,0.162,-0.349,E
L,2,1255653,-7.058,1.243,6.665,-0.218,0.105,-0.432,E
L,3,1255657,-7.779,-2.908,5.174,-0.163,0.352,-0.342,E
L,4,1255660,-8.404,-3.95,2.671,-0.105,0.287,-0.426,E
R,0,1274001,-4.63,-1.923,8.258,-0.723,-0.243,0.481,E
R,1,1274004,-5.052,-4.159,6.795,-0.39,0.238,0.276,E
R,2,1274007,-8.715,0.873,4.384,-0.183,0.316,0.173,E
R,3,1274010,-7.501,3.522,4.227,-0.094,0.534,0.3,E
R,4,1274013,-5.346,5.659,5.162,-0.059,0.491,0.186,E
L,0,1261665,-10.655,3.838,9.121,-0.157,0.03,-0.056,E
L,1,1261669,-10.751,2.015,9.999,-0.192,-0.042,-0.018,E
L,2,1261673,-11.691,2.27,8.748,-0.185,-0.155,0.01,E
L,3,1261677,-12.222,-2.91,7.29,-0.158,-0.202,-0.136,E
L,4,1261680,-12.847,-4.545,2.877,-0.101,-0.353,-0.224,E
R,0,1280059,-2.351,0.385,10.259,0.332,0.05,-1.144,E
R,1,1280062,-5.568,-6.479,4.696,0.877,0.787,-0.641,E
R,2,1280065,-9.185,-1.572,3.833,1.334,0.073,-0.404,E
R,3,1280068,-8.429,2.101,4.84,1.159,-0.344,-0.579,E
R,4,1280072,-5.455,4.478,7.3,0.839,-0.667,-0.839,E
L,0,1267685,-8.307,1.416,5.532,-0.028,0.019,-0.014,E
L,1,1267689,-8.12,0.909,5.453,-0.001,0.017,-0.033,E
L,2,1267693,-8.582,0.84,4.745,0.023,0.007,-0.015,E
L,3,1267697,-9.267,-2.006,3.413,0.024,0.012,-0.011,E
L,4,1267701,-9.286,-3.189,0.364,-0.038,0.002,0.016,E
R,0,1286117,-2.966,-0.108,9.261,-0.187,-0.0,0.044,E
R,1,1286120,-4.349,-6.577,4.814,-0.049,-0.016,-0.01,E
R,2,1286123,-8.096,-2.18,4.59,-0.004,-0.044,-0.028,E
R,3,1286126,-7.776,0.692,5.254,-0.057,0.061,-0.001,E
R,4,1286129,-5.642,2.847,7.349,-0.081,0.067,-0.009,E
L,0,1273706,-8.809,1.612,4.186,-0.034,-0.02,0.013,F
L,1,1273710,-8.508,1.152,4.067,-0.009,0.012,-0.013,F
L,2,1273714,-8.908,1.24,3.237,0.018,-0.003,0.002,F
L,3,1273718,-9.473,-0.619,1.936,0.015,0.008,-0.002,F
L,4,1273722,-9.13,-1.924,-0.911,-0.06,0.005,0.0,F
R,0,1292175,-7.312,-5.113,3.089,-0.194,0.028,-0.013,F
R,1,1292178,-8.821,-1.979,2.68,-0.032,0.032,-0.075,F
R,2,1292181,-9.056,2.061,-2.04,0.047,0.013,-0.173,F
R,3,1292184,-7.859,5.256,-2.257,-0.035,0.057,-0.017,F
R,4,1292187,-7.396,5.41,-2.213,0.03,0.047,-0.134,F
L,0,1279726,-8.598,2.594,4.284,-0.026,-0.007,0.028,F
L,1,1279730,-7.979,2.395,4.921,-0.0,0.012,0.011,F
L,2,1279734,-8.346,2.43,4.154,0.034,-0.007,0.02,F
L,3,1279738,-9.127,-0.223,3.739,0.03,-0.01,0.004,F
L,4,1279741,-9.415,-1.341,0.47,-0.029,0.004,0.056,F
R,0,1298233,3.352,-9.621,5.188,-0.48,-0.125,-0.089,F
R,1,1298236,-6.43,-5.856,-0.595,0.905,-0.954,-0.555,F
R,2,1298239,-4.744,0.194,8.598,0.946,-1.104,0.315,F
R,3,1298242,-4.65,0.791,8.727,0.079,-0.339,-0.04,F
R,4,1298245,-3.32,3.82,8.672,0.02,-0.179,-0.036,F
L,0,1285746,-8.607,2.752,4.284,-0.038,-0.005,0.001,F
L,1,1285750,-7.975,2.48,4.976,-0.017,0.013,-0.022,F
L,2,1285754,-8.345,2.564,4.232,0.007,-0.001,-0.012,F
L,3,1285758,-9.166,-0.193,3.812,0.005,0.012,-0.022,F
L,4,1285762,-9.562,-1.32,0.464,-0.044,0.004,-0.015,F
R,0,1304292,-7.185,-5.43,0.766,-0.328,0.261,0.106,F
R,1,1304295,-8.322,-0.265,-3.332,0.134,-0.03,-0.468,F
R,2,1304298,-8.795,1.806,-0.193,-0.255,0.092,-0.281,F
R,3,1304301,-8.289,3.196,-0.194,-0.163,0.191,-0.234,F
R,4,1304304,-8.341,2.343,-0.63,-0.118,0.057,-0.234,F
L,0,1291766,-8.011,2.277,5.162,-0.196,0.236,0.299,G
L,1,1291770,-8.145,0.668,5.812,0.504,0.518,-0.574,G
L,2,1291774,-8.222,1.944,5.096,0.581,0.56,-1.115,G
L,3,1291778,-9.249,-1.438,3.967,0.842,1.191,-0.629,G
L,4,1291782,-8.815,-1.529,1.358,1.264,0.652,-0.489,G
R,0,1310349,3.612,-7.434,5.702,-0.154,-0.027,0.068,G
R,1,1310352,-5.333,-7.488,2.423,-0.065,-0.063,0.001,G
R,2,1310355,-2.768,0.129,9.481,-0.016,-0.043,0.073,G
R,3,1310358,-3.584,-1.507,8.801,-0.086,0.009,0.076,G
R,4,1310361,-3.202,1.605,9.445,-0.116,0.045,0.049,G
L,0,1297786,-7.505,1.396,6.205,-0.049,0.233,-0.301,G
L,1,1297790,-7.78,-0.15,6.212,-0.046,0.213,-0.191,G
L,2,1297794,-8.453,-0.087,5.781,-0.022,0.173,-0.188,G
L,3,1297798,-9.329,-3.519,3.841,-0.017,0.241,-0.063,G
L,4,1297801,-9.341,-5.023,1.759,-0.079,0.219,-0.036,G
R,0,1316407,-2.453,5.82,7.799,0.435,0.006,0.483,G
R,1,1316410,0.269,7.617,5.606,0.185,-0.391,0.131,G
R,2,1316413,-1.056,8.995,2.562,0.182,-1.314,0.014,G
R,3,1316416,0.968,8.752,3.657,-0.113,-0.23,0.031,G
R,4,1316419,2.948,9.001,2.608,-0.164,-0.128,0.052,G
L,0,1303806,-8.2,1.671,5.788,-0.133,-0.023,0.347,G
L,1,1303810,-7.719,0.09,5.606,-0.096,0.003,0.342,G
L,2,1303814,-8.001,-0.032,5.073,-0.093,-0.006,0.371,G
L,3,1303818,-8.294,-2.94,3.02,-0.171,-0.174,0.307,G
L,4,1303822,-7.714,-4.366,1.362,-0.295,-0.062,0.332,G
R,0,1322465,-3.065,4.604,8.024,0.068,0.19,-0.056,G
R,1,1322468,-0.281,8.289,4.626,0.318,-0.091,-0.016,G
R,2,1322471,-1.511,8.626,1.829,0.067,0.244,0.066,G
R,3,1322474,0.498,8.28,3.133,0.105,0.234,0.005,G
R,4,1322477,2.199,8.596,2.164,0.026,0.292,-0.112,G
L,0,1309826,-8.571,2.905,4.756,-0.116,0.087,-0.09,H
L,1,1309830,-8.636,2.161,5.322,-0.034,0.039,-0.128,H
L,2,1309834,-9.215,2.462,4.587,-0.01,0.023,-0.116,H
L,3,1309838,-10.175,-0.687,3.766,-0.004,0.06,-0.123,H
L,4,1309842,-10.619,-2.32,1.014,0.032,0.038,-0.066,H
R,0,1328523,-4.701,0.473,6.126,-0.385,1.12,-3.105,H
R,1,1328526,-5.6,7.642,2.907,0.919,-0.203,-3.632,H
R,2,1328529,-1.312,8.697,-5.471,2.889,-4.037,-0.838,H
R,3,1328532,-1.762,11.011,-4.356,1.907,-2.312,-2.381,H
R,4,1328535,-0.121,9.327,-4.003,1.359,-3.309,-1.719,H
L,0,1315846,-9.336,4.742,2.752,0.086,-0.109,0.011,H
L,1,1315850,-7.563,5.119,3.853,0.015,-0.006,0.102,H
L,2,1315854,-8.218,5.357,3.672,0.056,-0.158,0.178,H
L,3,1315858,-8.577,2.424,4.8,0.086,-0.064,0.014,H
L,4,1315862,-9.521,1.317,1.329,0.121,0.012,0.323,H
R,0,1334581,-3.397,5.543,7.125,-0.181,-0.026,0.139,H
R,1,1334584,-2.623,8.383,2.489,-0.112,-0.058,0.006,H
R,2,1334587,-0.359,9.507,-0.876,-0.016,-0.074,-0.018,H
R,3,1334590,0.472,9.416,1.36,-0.095,0.18,0.068,H
R,4,1334593,1.794,9.347,0.078,-0.112,0.139,0.044,H
L,0,1321866,-8.019,3.614,4.961,-0.034,-0.012,0.018,H
L,1,1321870,-7.494,2.753,5.716,-0.016,0.013,-0.011,H
L,2,1321874,-7.708,2.931,5.011,0.011,-0.012,-0.003,H
L,3,1321878,-8.588,-0.45,4.653,0.008,0.007,-0.021,H
L,4,1321881,-9.321,-1.636,1.908,-0.037,0.001,0.005,H
R,0,1340640,-11.861,2.079,1.428,-0.41,0.265,2.04,H
R,1,1340643,-7.83,8.875,0.242,0.194,0.592,2.038,H
R,2,1340646,-0.922,10.403,-6.44,-0.724,1.349,1.618,H
R,3,1340649,2.699,11.673,-3.753,-1.609,1.239,0.901,H
R,4,1340652,3.007,11.207,-3.992,-1.417,1.43,1.092,H
L,0,1327886,-7.147,4.788,2.984,0.205,0.024,-0.095,H
L,1,1327890,-4.848,4.578,3.83,0.261,0.157,0.042,H
L,2,1327894,-6.796,5.812,4.292,0.186,-0.051,0.221,H
L,3,1327898,-8.301,3.388,6.264,0.028,-0.042,0.292,H
L,4,1327901,-9.438,2.297,2.255,-0.152,0.144,0.283,H
R,0,1346697,-5.751,5.629,5.244,-0.164,0.064,0.036,H
R,1,1346700,-2.998,8.856,2.474,-0.011,0.029,0.001,H
R,2,1346703,-0.164,9.817,-1.431,0.034,-0.023,-0.017,H
R,3,1346706,0.166,9.777,1.103,-0.035,0.044,0.013,H
R,4,1346709,1.379,9.652,1.325,-0.065,0.035,-0.002,H
L,0,1333906,-9.124,2.261,3.365,-0.034,0.005,0.015,H
L,1,1333910,-8.574,2.228,4.085,-0.006,0.017,-0.008,H
L,2,1333914,-8.862,2.449,3.098,0.001,-0.012,0.007,H
L,3,1333918,-9.422,0.12,2.313,-0.002,-0.006,-0.014,H
L,4,1333922,-9.214,-1.518,-0.591,-0.055,-0.018,-0.013,H
R,0,1352755,-6.77,-5.811,3.649,-0.188,0.015,0.015,H
R,1,1352758,-8.278,-2.193,4.038,-0.022,0.003,-0.015,H
R,2,1352761,-9.267,1.838,-1.601,0.038,-0.054,-0.034,H
R,3,1352764,-8.504,4.067,-1.99,-0.022,0.029,0.003,H
R,4,1352767,-7.872,4.374,-2.174,-0.057,0.026,-0.01,H
L,0,1339926,-8.654,2.483,4.571,-0.024,-0.005,0.028,I
L,1,1339930,-8.09,1.792,5.043,-0.01,0.006,0.013,I
L,2,1339934,-8.398,1.706,4.289,0.005,-0.004,0.017,I
L,3,1339938,-9.02,-1.153,3.446,0.0,0.002,-0.006,I
L,4,1339942,-9.269,-2.223,0.652,-0.059,-0.014,0.008,I
R,0,1358813,-5.001,5.981,5.558,-0.119,0.006,0.037,I
R,1,1358816,-1.472,8.987,2.774,0.007,-0.035,0.029,I
R,2,1358820,0.766,9.71,-0.226,0.015,-0.054,0.041,I
R,3,1358823,-0.353,9.524,1.935,-0.068,0.004,0.006,I
R,4,1358826,0.424,9.442,2.316,-0.095,-0.0,-0.004,I
L,0,1345946,-8.124,3.973,5.009,-0.508,-0.126,-0.194,I
L,1,1345950,-7.441,2.968,5.211,-0.528,-0.102,-0.251,I
L,2,1345954,-7.412,3.033,4.037,-0.528,-0.112,-0.321,I
L,3,1345958,-7.901,-0.011,3.74,-0.481,0.094,-0.501,I
L,4,1345962,-8.091,-1.334,0.864,-0.308,-0.093,-0.653,I
R,0,1364871,-6.583,-3.786,6.062,0.127,-0.918,-0.378,I
R,1,1364874,-8.598,0.405,5.432,-0.328,-0.773,-0.02,I
R,2,1364877,-9.931,5.09,-1.31,-0.71,-0.434,-0.152,I
R,3,1364880,-8.722,6.2,-1.401,-0.709,-0.035,-0.191,I
R,4,1364883,-6.598,7.586,-2.381,-0.314,-0.873,0.173,I
L,0,1351966,-9.129,2.375,2.728,-0.03,-0.002,0.003,I
L,1,1351970,-8.853,1.958,3.138,-0.005,0.008,-0.018,I
L,2,1351974,-9.124,1.818,2.383,0.017,-0.008,-0.001,I
L,3,1351978,-9.615,0.054,1.355,0.012,0.003,-0.017,I
L,4,1351981,-9.182,-1.273,-1.282,-0.039,0.002,0.002,I
R,0,1370929,2.723,-2.795,9.351,-0.123,0.031,0.088,I
R,1,1370932,-8.596,-4.235,0.148,-0.044,-0.127,-0.034,I
R,2,1370935,-8.696,-4.081,-0.958,0.029,-0.129,0.034,I
R,3,1370938,-8.956,-0.94,3.191,-0.023,-0.038,0.016,I
R,4,1370941,-4.401,2.783,8.448,-0.09,-0.025,0.021,I
L,0,1357986,-9.227,2.288,2.757,-0.022,0.009,0.001,I
L,1,1357990,-8.894,2.081,3.245,0.01,0.015,-0.023,I
L,2,1357994,-9.128,1.742,2.409,0.015,-0.007,-0.002,I
L,3,1357998,-9.635,0.043,1.353,0.014,0.001,-0.014,I
L,4,1358002,-9.173,-1.313,-1.274,-0.044,-0.011,-0.026,I
R,0,1376988,-0.765,-5.714,8.75,0.192,-0.026,-0.432,I
R,1,1376991,-11.327,-1.873,-2.644,0.039,2.31,0.737,I
R,2,1376994,-10.532,0.613,-5.313,0.145,1.696,-0.579,I
R,3,1376997,-9.331,3.741,2.052,-0.347,1.371,-0.629,I
R,4,1377000,-1.38,6.062,5.113,-0.911,-0.463,-0.451,I
L,0,1364007,-8.987,2.221,3.37,-0.031,0.001,0.023,K
L,1,1364011,-8.732,1.543,3.523,-0.01,0.019,-0.003,K
L,2,1364015,-9.056,1.312,2.893,0.02,0.005,0.008,K
L,3,1364019,-9.603,-0.684,1.324,0.015,0.006,0.005,K
L,4,1364023,-9.159,-1.872,-0.977,-0.052,-0.001,0.023,K
R,0,1383045,-6.627,-5.393,6.488,-1.133,-0.114,0.243,K
R,1,1383048,-9.604,0.294,1.258,-0.42,-0.21,-0.289,K
R,2,1383051,-8.489,5.175,-3.407,-0.2,-0.173,0.05,K
R,3,1383054,-7.881,7.665,-0.433,-0.638,0.041,-0.21,K
R,4,1383057,-6.358,8.329,-0.643,-0.672,0.074,-0.288,K
L,0,1370027,-8.475,2.774,4.73,-0.608,-0.052,0.301,K
L,1,1370031,-8.311,1.706,4.869,-0.458,-0.143,0.312,K
L,2,1370035,-9.304,2.049,4.11,-0.511,-0.072,0.379,K
L,3,1370039,-10.409,-0.943,2.886,-0.594,-0.544,0.187,K
L,4,1370043,-10.264,-2.538,0.061,-0.39,-0.282,0.01,K
R,0,1389103,-3.938,-3.042,7.824,-0.172,-0.052,0.105,K
R,1,1389106,-9.597,-0.727,0.633,-0.019,-0.114,0.001,K
R,2,1389109,-8.835,2.673,-2.568,-0.003,-0.113,0.058,K
R,3,1389112,-7.81,5.339,-0.158,-0.012,0.009,0.108,K
R,4,1389115,-6.618,6.206,0.467,-0.118,0.037,0.09,K
L,0,1376047,-8.546,-0.037,6.019,-0.024,-0.026,0.015,K
L,1,1376051,-8.047,-1.607,5.477,-0.004,0.008,-0.023,K
L,2,1376055,-8.232,-1.528,5.21,0.015,-0.017,-0.014,K
L,3,1376059,-8.662,-4.492,2.316,0.015,-0.003,-0.031,K
L,4,1376063,-8.167,-5.393,0.256,-0.038,-0.029,-0.048,K
R,0,1395161,-2.613,-3.183,8.541,1.271,1.238,-2.49,K
R,1,1395164,-6.003,-0.617,5.555,2.539,0.964,-1.552,K
R,2,1395167,-5.758,5.782,2.116,2.817,-0.612,-0.292,K
R,3,1395171,-3.273,7.465,3.664,2.405,-1.324,-0.86,K
R,4,1395174,-1.076,8.953,2.798,2.143,-1.838,-0.493,K
L,0,1382067,-8.201,2.243,5.544,-0.047,-0.019,0.003,K
L,1,1382071,-7.934,0.857,5.544,-0.022,0.003,-0.032,K
L,2,1382075,-8.357,0.775,4.709,0.014,-0.021,-0.022,K
L,3,1382079,-9.143,-2.076,2.546,0.018,0.005,-0.045,K
L,4,1382082,-8.868,-3.434,0.644,-0.024,-0.024,-0.041,K
R,0,1401219,-15.247,-5.397,5.435,2.038,-3.046,0.294,K
R,1,1401222,-16.363,8.51,3.589,0.624,-2.487,0.967,K
R,2,1401225,-9.112,13.385,-9.193,-2.206,-1.714,2.51,K
R,3,1401228,-4.834,15.993,-6.084,-3.086,-1.692,2.593,K
R,4,1401231,-2.543,15.013,-7.13,-3.056,-0.877,2.794,K
L,0,1388087,-10.382,1.823,4.033,0.213,0.011,-0.033,K
L,1,1388091,-9.12,0.469,5.276,0.2,0.1,-0.064,K
L,2,1388095,-9.009,-0.002,4.647,0.236,0.02,-0.087,K
L,3,1388099,-9.099,-2.873,2.552,0.192,0.072,-0.103,K
L,4,1388103,-8.66,-4.35,0.572,-0.15,0.025,-0.029,K
R,0,1407277,-8.387,-5.42,3.515,0.084,0.274,0.374,K
R,1,1407280,-8.982,-2.903,-0.435,-0.007,-0.027,0.654,K
R,2,1407283,-10.718,0.309,-2.3,-0.154,0.001,0.22,K
R,3,1407286,-10.259,3.522,-1.464,-0.14,-0.027,0.019,K
R,4,1407289,-9.594,3.111,-1.784,-0.072,-0.052,0.005,K
L,0,1394107,-9.809,4.016,4.342,0.392,0.144,0.173,K
L,1,1394111,-9.304,1.8,4.916,0.33,0.061,0.145,K
L,2,1394115,-9.386,2.27,5.25,0.171,0.078,0.276,K
L,3,1394119,-9.93,-1.032,4.345,0.12,-0.096,0.296,K
L,4,1394123,-10.416,-2.352,1.189,-0.144,0.013,0.319,K
R,0,1413336,-6.816,-3.019,3.925,-0.268,0.303,0.122,K
R,1,1413339,-4.991,-1.33,1.353,-0.505,0.302,-0.176,K
R,2,1413342,-8.028,1.267,-1.14,0.005,0.135,-0.265,K
R,3,1413345,-8.529,2.947,-1.288,0.144,0.221,-0.216,K
R,4,1413348,-8.75,2.63,-2.182,0.187,0.243,-0.364,K
L,0,1400127,-8.266,3.888,5.883,-0.378,-0.092,-0.193,K
L,1,1400131,-8.135,1.703,6.135,-0.319,-0.083,-0.202,K
L,2,1400135,-8.581,2.304,5.136,-0.3,-0.166,-0.177,K
L,3,1400139,-9.285,-1.268,4.827,-0.259,-0.046,-0.301,K
L,4,1400143,-9.833,-2.987,2.388,-0.129,-0.138,-0.287,K
R,0,1419393,-5.446,-7.038,3.626,-0.172,0.044,0.021,K
R,1,1419396,-8.322,-3.092,2.835,-0.057,-0.036,-0.049,K
R,2,1419399,-9.371,1.354,-1.51,0.01,-0.044,-0.091,K
R,3,1419402,-8.398,4.402,-1.642,-0.08,0.073,-0.04,K
R,4,1419405,-7.663,4.839,-1.705,-0.112,0.086,-0.145,K
L,0,1406147,-6.783,4.047,6.281,0.227,0.101,-0.131,K
L,1,1406151,-7.008,1.972,6.478,0.207,0.175,-0.151,K
L,2,1406155,-7.567,2.522,5.464,0.234,0.146,-0.141,K
L,3,1406159,-8.426,-1.307,5.212,0.223,0.208,-0.003,K
L,4,1406163,-9.143,-2.746,3.206,0.106,0.266,0.054,K
